antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,1.0,0.0005355097006888195,1.0164197369905876,0.1081463334554042,0.03326133909287257,0.016154484602201084,0.08921438985521989
frozenset({'yogurt'}),frozenset({'sausage'}),0.08587850030074183,0.06034886052262247,0.005747510525964045,0.0669260700389105,1.1089864739670185,1.0,0.0005648408894225838,1.007048969331468,0.1075084076619388,0.04091341579448145,0.006999629160186191,0.08108208263850286
frozenset({'sausage'}),frozenset({'yogurt'}),0.06034886052262247,0.08587850030074183,0.005747510525964045,0.09523809523809523,1.1089864739670185,1.0,0.0005648408894225838,1.0103448154570749,0.10458748221906108,0.04091341579448145,0.010238895967803696,0.08108208263850286
frozenset({'sausage'}),frozenset({'soda'}),0.06034886052262247,0.09710619528169484,0.005948005079195348,0.09856035437430785,1.0149749363405152,1.0,8.775684425780649e-05,1.0016131519172353,0.015701567919190695,0.03925893250992501,0.0016105538492056613,0.07990646762073961
frozenset({'soda'}),frozenset({'sausage'}),0.09710619528169484,0.06034886052262247,0.005948005079195348,0.06125258086717137,1.0149749363405152,1.0,8.775684425780649e-05,1.000962687434479,0.016340787930704752,0.03925893250992501,0.0009617615587116068,0.07990646762073961
